"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"30455","Curry-DelightOriginal Masala Gourmet Simmer SaucMild",8.77,1.75,10.53,5.26,1.8,1.75,0.674
"30459","Curry-Quinoa mit Sojabohnenkernen und Süßkartoffeln",6.5,0.6,24.8,6.9,2.8,5.8,0.559055118110236
"30461","Curry Bols Poulet",8,2.5,17,2.5,0.7,12,0.708661417322835
"30484","Curry Lentil Vegetarian Soup",2.14,0,68.57,7.14,14.3,18.57,0.986
"30510","Custard creams",20.8,12.4,68.6,28.4,2,5,0.177165354330709
"30514","Custard Powder Mix",2.5,1,23,12,7,26,0.26
"30533","cut green beans",0,0,3.33,1.67,1.67,0.833,0.333
"30546","Cut MacaronEnriched Macaroni Product",1.79,0,73.21,3.57,3.6,12.5,0
"30551","Cut Out Bell Cookies",18.75,7.81,68.75,34.38,0,6.25,0.203
"30597","D'Allesandro Gourmet IngredientSplit Mung Beans",0,0,62.86,5.71,17.1,22.86,0.014
"30600","D'ArtagnaQuail Eggs",11.11,3.7,0,0,0,12.96,0.139
"30604","D'Lightful Portabella Caps",0,0,3.53,2.35,1.2,2.35,0
"30615","Da Vinci GourmeEspresso Beans",30,17.5,57.5,47.5,2.5,5,0.062
"30627","Daffy FarmCaramel",17.86,10.71,53.57,42.86,0,0,0.196
"30628","Dafgårds À la carte Kebabtallrik",11,4,14,1.6,1.8,5.1,0.393700787401575
"30634","Dafgårds Italienska Kalvfärsbiffar",8.1,2.3,16,1.2,1.6,6.1,0.433070866141732
"30639","Dafgårds Lasagne i ugn",4.9,2.5,13,2,0.8,4.6,0.362204724409449
"30643","DagobDark Chocolate",35,22.5,55,40,7.5,7.5,0
"30651","Dahi Vada Mix",2,0,60,0,8,22,1.94
"30653","Dai DaApricot Glaze And Marinade",0,0,51.35,29.73,2.7,0,0.703
"30663","Daily Greens",0,0,9.58,7.92,1.25,0.417,0.0271
"30665","Daim",29.6,16.2,59.6,57.5,1.48,4.48,0.28740157480315
"30676","DairFarmers Cheese",28.57,19.64,0,0,0,21.43,0.857
"30684","Dairy-Free Fruity & Creamy Blended",2,0,16.67,13.33,1.3,4,0.08
"30695","Dairy Beverage",0,0,9.395,8.895,0.2,1.155,0.0235
"30698","Dairy CreameHazelnut",10,6.67,33.33,33.33,0,0,0.1
"30707","Dairy DrinMango",0.72,0.48,14.49,13.53,0,2.42,0.039
"30712","Dairy DrinPecan",0.72,0.48,14.49,13.53,0,2.42,0.039
"30723","Dairy FarmLowfat Cottage Cheese",2.21,1.33,5.31,3.54,0,11.5,0.354
"30737","Dairy Free Frozen Dessert Sandwiches",15.79,2.63,44.74,23.68,0,5.26,0.318
"30758","Dairy Milk Whole Nut",35,16.5,49.75,48.75,1.6,8.7,0.0787200787401575
"30766","DairyliciouFrozen Dairy DesserVanilla",3.45,2.59,29.31,20.69,0,3.45,0.078
"30786","Dakota StylSunflower KernelHoney Roasted",48.48,6.06,24.24,12.12,6.1,15.15,0.145
"30796","DallieCelebration Non Pareils Edible Decor",0,0,100,66.67,0,0,0
"30846","DanekHavarti With Caraway",35.71,21.43,0,0,0,25,0.714
"30849","Danette",3,2,20.1,17.5,0,3.3,0.0590551181102362
"30855","Danette chocolat",3,2,20,17.5,0,3.3,0.0708661417322835
"30861","Dani' Pom' Pomme",0.2,0,13.8,10.4,2.4,0.3,0
"30862","Dani' Pom' Pomme Banane",0.2,0,14.7,11.5,2.2,0.5,0
"30874","DanimalCrunchers Nonfat Yogurt With Rainbow SprinkleStrawberry",2,2,20,14,0,3,0.05
"30885","Danipom Pomme 700G +20% Gratuit Bio",0.2,0,13.8,10.4,2.4,0.3,0
"30910","DanisTraditional Butter Cookies",23.33,16.67,66.67,26.67,3.3,6.67,0.2
"30912","Danival Fruits 100% France Pomme Mirabelle",0.13,0,12.5,8.4,1.39,0.35,0
